move,35.446335,-10.280789
move,37.78606,-10.403002
move,39.865036,-10.411702
move,41.98052,-10.334258
move,43.929565,-10.1970625
move,45.947243,-10.0768
move,48.05212,-9.964485
move,50.166527,-9.850377
move,52.119133,-9.780459
cluster,393
move,-375.5,-30.000002
move,-374.98083,-30.024637
move,-373.97137,-30.07137
move,-372.89444,-30.1194
move,-371.87494,-30.15893
move,-370.8262,-30.186653
move,-369.78677,-30.19958
move,-368.73767,-30.193552
move,-367.69846,-30.16981
move,-366.6691,-30.1384
move,-365.63004,-30.109093
move,-364.60028,-30.092611
move,-363.5416,-30.085318
move,-362.53098,-30.081303
move,-361.51096,-30.100935
move,-360.50122,-30.142914
move,-359.4924,-30.202854
move,-358.4847,-30.279753
move,-357.48734,-30.364729
move,-356.37405,-30.448572
move,-355.26047,-30.528885
move,-354.14685,-30.609716
move,-353.01422,-30.693495
move,-351.9272,-30.715837
move,-350.81097,-30.692022
move,-349.73328,-30.665304
move,-348.6468,-30.616796
move,-347.52496,-30.51918
move,-346.44412,-30.398441
move,-345.39584,-30.249928
move,-344.34387,-30.063658
move,-343.29068,-29.83394
move,-342.29498,-29.571367
move,-341.2861,-29.250372
move,-340.287,-28.900608
move,-339.3252,-28.532337
move,-338.3409,-28.142673
move,-337.41833,-27.664362
move,-336.28238,-26.994455
move,-335.196,-26.268454
move,-334.13727,-25.48225
move,-333.13876,-24.639446
move,-332.08408,-23.641512
move,-331.16766,-22.660189
move,-330.43182,-21.611502
move,-329.93155,-20.421392
move,-329.737,-19.106882
move,-329.70404,-17.83698
move,-329.75012,-16.531311
move,-329.89508,-15.232777
move,-330.07257,-13.962522
move,-330.25873,-12.644612
move,-330.37497,-11.343864
move,-330.19803,-10.042148
move,-329.60526,-8.801098
move,-328.836,-7.730863
move,-327.9879,-6.7050514
move,-327.13696,-5.697422
move,-326.261,-4.6793175
move,-325.36853,-3.6755872
move,-324.45206,-2.6772854
move,-323.4964,-1.734133
move,-322.43707,-0.9114021
move,-321.1652,-0.3928476
move,-319.82727,-0.18394253
move,-318.36896,-0.10740422
move,-317.00302,-0.04948604
move,-315.702,0.07399188
move,-314.305,0.21086912
move,-312.90833,0.35137615
move,-311.54822,0.4914954
move,-310.23605,0.6244292
move,-308.86282,0.7539139
move,-307.53278,0.77529466
move,-306.17276,0.6408633
move,-304.84253,0.4557323
move,-303.5125,0.2685501
move,-302.2733,0.14076965
move,-300.85953,0.068454705
move,-299.57788,0.020785319
move,-298.2835,-0.0065506515
move,-296.98907,-0.030702837
move,-295.67044,-0.055314578
move,-294.3881,-0.07924583
move,-293.10574,-0.103175856
move,-291.82336,-0.12709834
move,-290.51678,-0.15148267
move,-289.27072,-0.17473108
move,-287.90366,-0.20024772
move,-286.53656,-0.22262669
move,-285.13293,-0.23606569
move,-283.91086,-0.23768705
move,-282.70087,-0.23442852
move,-281.27295,-0.22174595
move,-280.05106,-0.20174289
move,-278.79318,-0.16622955
move,-277.57242,-0.10856486
move,-276.31622,-0.034550842
move,-275.09653,0.041532055
move,-273.87662,0.11342927
move,-272.64468,0.18737024
move,-271.4009,0.26466313
move,-270.14505,0.34270057
move,-268.88925,0.42073154
move,-267.6454,0.4971934
move,-266.41315,0.56816715
move,-265.16867,0.6359241
move,-263.94727,0.6642334
move,-262.705,0.5750961
move,-261.50504,0.34534556
move,-260.3144,0.021680284
move,-259.04092,-0.5047296
move,-257.8548,-1.2289124
move,-256.9186,-2.050307
move,-256.01398,-2.9251215
move,-255.15382,-3.8266666
move,-254.34322,-4.804742
move,-253.57018,-5.7976203
move,-252.84686,-6.871052
move,-252.14728,-7.989065
move,-251.54533,-9.107229
move,-251.05211,-10.32938
move,-250.73825,-11.64688
move,-250.54912,-12.915304
move,-250.43047,-14.204503
move,-250.32011,-15.4944935
move,-250.31448,-16.811306
move,-250.42072,-18.162325
move,-250.5489,-19.402
move,-250.6906,-20.725433
move,-250.81866,-22.038033
move,-250.87996,-23.306988
