metadata,origin:fort-sterling,destination:aspenwood
move,-270.50208,-151.04106
move,-270.91397,-152.25473
move,-271.16458,-153.52399
move,-271.23953,-154.7671
move,-271.1982,-156.0247
move,-271.12924,-157.28123
move,-271.05804,-158.54974
move,-271.0027,-159.81902
move,-270.98843,-161.10146
move,-271.01242,-162.37164
move,-271.0375,-163.64183
move,-271.06345,-164.9362
move,-271.06528,-166.26717
move,-271.0353,-167.53732
move,-271.01736,-168.80768
move,-271.01843,-170.0904
move,-271.01477,-171.36087
move,-270.93552,-172.62865
move,-270.77515,-173.87662
move,-270.58322,-175.13254
move,-270.39633,-176.41368
move,-270.25308,-177.68767
move,-270.1914,-178.96878
move,-270.15015,-180.25063
move,-270.166,-181.53313
move,-270.18442,-182.81558
move,-270.19336,-184.15858
move,-270.2013,-185.44106
move,-270.21368,-186.71141
move,-270.21667,-188.01813
move,-270.11514,-189.28424
move,-270.00864,-190.52608
move,-269.89658,-191.82819
move,-269.7842,-193.11797
move,-269.67188,-194.41986
move,-269.5597,-195.72174
move,-269.4488,-196.98737
move,-269.2951,-198.29704
move,-268.96848,-199.54825
move,-268.44128,-200.76915
move,-267.78198,-201.89699
move,-267.01242,-202.95241
move,-266.1129,-203.93246
move,-265.078,-204.82503
move,-264.02194,-205.61493
move,-262.92526,-206.3472
move,-261.68768,-207.05818
move,-260.49673,-207.59569
move,-259.3786,-208.08882
move,-258.21222,-208.59212
move,-257.00006,-209.01065
move,-255.77101,-209.3317
move,-254.53603,-209.57199
move,-253.26424,-209.73686
move,-251.99861,-209.8474
move,-250.70712,-209.9383
move,-249.45103,-210.01453
move,-248.15825,-210.08513
move,-246.90169,-210.1527
move,-245.65704,-210.21762
move,-244.4123,-210.28
move,-243.14249,-210.31686
move,-241.89618,-210.3116
move,-240.56526,-210.29755
move,-239.25853,-210.28368
move,-237.96416,-210.25594
move,-236.7066,-210.21092
move,-235.49783,-210.15599
move,-234.21669,-210.09415
move,-232.97116,-210.04973
move,-231.64038,-210.02464
move,-230.39417,-210.00928
move,-229.14793,-209.99475
move,-227.8654,-209.97981
move,-226.61917,-209.96529
move,-225.17935,-209.94841
move,-223.95732,-209.93411
move,-222.72324,-209.92154
move,-221.50127,-209.90971
move,-220.25511,-209.89769
move,-219.03308,-209.88968
move,-217.81091,-209.8836
move,-216.383,-209.87672
move,-215.16081,-209.87083
move,-213.82977,-209.86444
move,-212.52293,-209.85817
move,-211.17978,-209.85168
move,-209.84875,-209.84534
move,-208.4935,-209.83887
move,-207.15038,-209.83261
move,-205.8314,-209.82964
move,-204.41562,-209.83095
move,-203.08458,-209.83621
move,-201.66888,-209.84608
move,-200.19276,-209.86363
move,-198.84987,-209.88454
move,-197.5196,-209.9275
move,-196.1772,-209.97028
move,-194.8465,-210.00006
move,-193.5037,-210.03252
move,-192.1976,-210.07498
move,-190.97711,-210.13727
move,-189.74472,-210.20517
move,-188.51183,-210.26054
move,-187.10838,-210.27754
move,-185.87431,-210.2901
move,-184.65233,-210.30197
move,-183.43031,-210.3165
move,-182.18417,-210.33426
move,-180.79285,-210.35413
move,-179.51038,-210.3746
move,-178.30072,-210.40201
move,-177.0672,-210.44215
move,-175.66544,-210.51273
move,-174.4107,-210.60896
move,-173.15732,-210.72104
move,-171.94725,-210.89098
move,-170.69815,-211.1228
move,-169.48662,-211.41396
move,-168.24873,-211.83101
move,-167.12206,-212.33376
move,-166.03238,-212.96188
move,-165.02531,-213.69516
move,-164.10645,-214.53606
move,-163.28711,-215.53702
move,-162.62746,-216.62195
move,-162.09795,-217.77621
move,-161.67723,-218.97473
move,-161.29628,-220.18674
move,-160.91173,-221.41032
move,-160.5574,-222.73021
move,-160.32652,-223.99149
move,-160.17653,-225.26526
move,-160.07129,-226.56767
move,-160.0072,-227.89702
move,-160.00517,-229.19159
move,-160.05785,-230.54576
move,-160.13222,-231.78981
move,-160.23863,-233.18936
move,-160.3406,-234.46794
move,-160.43723,-235.8924
move,-160.46724,-237.11409
move,-160.47964,-238.38452
move,-160.45988,-239.61852
move,-160.41066,-240.86375
move,-160.334,-242.10773
move,-160.22453,-243.33702
move,-160.08022,-244.5871
move,-159.91075,-245.82178
move,-159.68198,-247.23111
move,-159.39293,-248.41794
move,-158.95668,-249.57187
move,-158.33492,-250.82962
move,-157.7089,-251.89302
move,-156.90434,-253.07219
move,-156.0505,-254.15527
move,-155.2278,-255.07498
move,-154.3005,-255.94258
move,-153.32448,-256.67715
move,-152.1287,-257.4347
move,-150.9009,-258.11386
move,-149.61789,-258.6503
move,-148.25966,-259.04694
move,-146.98418,-259.26575
move,-145.7535,-259.35547
move,-144.36356,-259.42004
move,-142.95345,-259.54462
move,-141.54462,-259.6836
move,-140.16151,-259.83606
move,-138.9332,-259.95587
move,-137.55551,-260.02155
move,-136.16408,-260.02875
move,-134.6043,-259.97202
move,-133.36003,-259.90076
move,-132.07857,-259.848
